sequence_id,timestep,ear,label
manual_20260411_000331_seq_00000,0,0.37037,0
manual_20260411_000331_seq_00000,1,0.384259,0
manual_20260411_000331_seq_00000,2,0.384259,0
manual_20260411_000331_seq_00000,3,0.350725,0
manual_20260411_000331_seq_00000,4,0.350725,0
manual_20260411_000331_seq_00000,5,0.33435,0
manual_20260411_000331_seq_00000,6,0.33435,0
manual_20260411_000331_seq_00000,7,0.34186,0
manual_20260411_000331_seq_00000,8,0.34186,0
manual_20260411_000331_seq_00000,9,0.419103,0
manual_20260411_000331_seq_00000,10,0.419103,0
manual_20260411_000331_seq_00000,11,0.39886,0
manual_20260411_000331_seq_00000,12,0.39886,0
manual_20260411_000331_seq_00000,13,0.352758,0
manual_20260411_000331_seq_00000,14,0.351264,0
manual_20260411_000331_seq_00000,15,0.351264,0
manual_20260411_000331_seq_00001,0,0.350725,0
manual_20260411_000331_seq_00001,1,0.33435,0
manual_20260411_000331_seq_00001,2,0.33435,0
manual_20260411_000331_seq_00001,3,0.34186,0
manual_20260411_000331_seq_00001,4,0.34186,0
manual_20260411_000331_seq_00001,5,0.419103,0
manual_20260411_000331_seq_00001,6,0.419103,0
manual_20260411_000331_seq_00001,7,0.39886,0
manual_20260411_000331_seq_00001,8,0.39886,0
manual_20260411_000331_seq_00001,9,0.352758,0
manual_20260411_000331_seq_00001,10,0.351264,0
manual_20260411_000331_seq_00001,11,0.351264,0
manual_20260411_000331_seq_00001,12,0.420664,0
manual_20260411_000331_seq_00001,13,0.420664,0
manual_20260411_000331_seq_00001,14,0.266573,0
manual_20260411_000331_seq_00001,15,0.266573,0
manual_20260411_000331_seq_00002,0,0.34186,0
manual_20260411_000331_seq_00002,1,0.419103,0
manual_20260411_000331_seq_00002,2,0.419103,0
manual_20260411_000331_seq_00002,3,0.39886,0
manual_20260411_000331_seq_00002,4,0.39886,0
manual_20260411_000331_seq_00002,5,0.352758,0
manual_20260411_000331_seq_00002,6,0.351264,0
manual_20260411_000331_seq_00002,7,0.351264,0
manual_20260411_000331_seq_00002,8,0.420664,0
manual_20260411_000331_seq_00002,9,0.420664,0
manual_20260411_000331_seq_00002,10,0.266573,0
manual_20260411_000331_seq_00002,11,0.266573,0
manual_20260411_000331_seq_00002,12,0.438596,0
manual_20260411_000331_seq_00002,13,0.438596,0
manual_20260411_000331_seq_00002,14,0.333577,0
manual_20260411_000331_seq_00002,15,0.333577,0
manual_20260411_000331_seq_00003,0,0.39886,0
manual_20260411_000331_seq_00003,1,0.352758,0
manual_20260411_000331_seq_00003,2,0.351264,0
manual_20260411_000331_seq_00003,3,0.351264,0
manual_20260411_000331_seq_00003,4,0.420664,0
manual_20260411_000331_seq_00003,5,0.420664,0
manual_20260411_000331_seq_00003,6,0.266573,0
manual_20260411_000331_seq_00003,7,0.266573,0
manual_20260411_000331_seq_00003,8,0.438596,0
manual_20260411_000331_seq_00003,9,0.438596,0
manual_20260411_000331_seq_00003,10,0.333577,0
manual_20260411_000331_seq_00003,11,0.333577,0
manual_20260411_000331_seq_00003,12,0.441729,0
manual_20260411_000331_seq_00003,13,0.441729,0
manual_20260411_000331_seq_00003,14,0.373864,0
manual_20260411_000331_seq_00003,15,0.373864,0
manual_20260411_000331_seq_00004,0,0.420664,0
manual_20260411_000331_seq_00004,1,0.420664,0
manual_20260411_000331_seq_00004,2,0.266573,0
manual_20260411_000331_seq_00004,3,0.266573,0
manual_20260411_000331_seq_00004,4,0.438596,0
manual_20260411_000331_seq_00004,5,0.438596,0
manual_20260411_000331_seq_00004,6,0.333577,0
manual_20260411_000331_seq_00004,7,0.333577,0
manual_20260411_000331_seq_00004,8,0.441729,0
manual_20260411_000331_seq_00004,9,0.441729,0
manual_20260411_000331_seq_00004,10,0.373864,0
manual_20260411_000331_seq_00004,11,0.373864,0
manual_20260411_000331_seq_00004,12,0.437306,0
manual_20260411_000331_seq_00004,13,0.437306,0
manual_20260411_000331_seq_00004,14,0.386497,0
manual_20260411_000331_seq_00004,15,0.386497,0
manual_20260411_000331_seq_00005,0,0.438596,0
manual_20260411_000331_seq_00005,1,0.438596,0
manual_20260411_000331_seq_00005,2,0.333577,0
manual_20260411_000331_seq_00005,3,0.333577,0
manual_20260411_000331_seq_00005,4,0.441729,0
manual_20260411_000331_seq_00005,5,0.441729,0
manual_20260411_000331_seq_00005,6,0.373864,0
manual_20260411_000331_seq_00005,7,0.373864,0
manual_20260411_000331_seq_00005,8,0.437306,0
manual_20260411_000331_seq_00005,9,0.437306,0
manual_20260411_000331_seq_00005,10,0.386497,0
manual_20260411_000331_seq_00005,11,0.386497,0
manual_20260411_000331_seq_00005,12,0.41012,0
manual_20260411_000331_seq_00005,13,0.41012,0
manual_20260411_000331_seq_00005,14,0.332505,0
manual_20260411_000331_seq_00005,15,0.332505,0
manual_20260411_000331_seq_00006,0,0.441729,0
manual_20260411_000331_seq_00006,1,0.441729,0
manual_20260411_000331_seq_00006,2,0.373864,0
manual_20260411_000331_seq_00006,3,0.373864,0
manual_20260411_000331_seq_00006,4,0.437306,0
manual_20260411_000331_seq_00006,5,0.437306,0
manual_20260411_000331_seq_00006,6,0.386497,0
manual_20260411_000331_seq_00006,7,0.386497,0
manual_20260411_000331_seq_00006,8,0.41012,0
manual_20260411_000331_seq_00006,9,0.41012,0
manual_20260411_000331_seq_00006,10,0.332505,0
manual_20260411_000331_seq_00006,11,0.332505,0
manual_20260411_000331_seq_00006,12,0.422222,0
manual_20260411_000331_seq_00006,13,0.422222,0
manual_20260411_000331_seq_00006,14,0.431307,0
manual_20260411_000331_seq_00006,15,0.325181,0
manual_20260411_000331_seq_00007,0,0.437306,0
manual_20260411_000331_seq_00007,1,0.437306,0
manual_20260411_000331_seq_00007,2,0.386497,0
manual_20260411_000331_seq_00007,3,0.386497,0
manual_20260411_000331_seq_00007,4,0.41012,0
manual_20260411_000331_seq_00007,5,0.41012,0
manual_20260411_000331_seq_00007,6,0.332505,0
manual_20260411_000331_seq_00007,7,0.332505,0
manual_20260411_000331_seq_00007,8,0.422222,0
manual_20260411_000331_seq_00007,9,0.422222,0
manual_20260411_000331_seq_00007,10,0.431307,0
manual_20260411_000331_seq_00007,11,0.325181,0
manual_20260411_000331_seq_00007,12,0.325181,0
manual_20260411_000331_seq_00007,13,0.410053,0
manual_20260411_000331_seq_00007,14,0.410053,0
manual_20260411_000331_seq_00007,15,0.434875,0
manual_20260411_000331_seq_00008,0,0.41012,0
manual_20260411_000331_seq_00008,1,0.41012,0
manual_20260411_000331_seq_00008,2,0.332505,0
manual_20260411_000331_seq_00008,3,0.332505,0
manual_20260411_000331_seq_00008,4,0.422222,0
manual_20260411_000331_seq_00008,5,0.422222,0
manual_20260411_000331_seq_00008,6,0.431307,0
manual_20260411_000331_seq_00008,7,0.325181,0
manual_20260411_000331_seq_00008,8,0.325181,0
manual_20260411_000331_seq_00008,9,0.410053,0
manual_20260411_000331_seq_00008,10,0.410053,0
manual_20260411_000331_seq_00008,11,0.434875,0
manual_20260411_000331_seq_00008,12,0.434875,0
manual_20260411_000331_seq_00008,13,0.396825,0
manual_20260411_000331_seq_00008,14,0.396825,0
manual_20260411_000331_seq_00008,15,0.423906,0
manual_20260411_000331_seq_00009,0,0.422222,0
manual_20260411_000331_seq_00009,1,0.422222,0
manual_20260411_000331_seq_00009,2,0.431307,0
manual_20260411_000331_seq_00009,3,0.325181,0
manual_20260411_000331_seq_00009,4,0.325181,0
manual_20260411_000331_seq_00009,5,0.410053,0
manual_20260411_000331_seq_00009,6,0.410053,0
manual_20260411_000331_seq_00009,7,0.434875,0
manual_20260411_000331_seq_00009,8,0.434875,0
manual_20260411_000331_seq_00009,9,0.396825,0
manual_20260411_000331_seq_00009,10,0.396825,0
manual_20260411_000331_seq_00009,11,0.423906,0
manual_20260411_000331_seq_00009,12,0.304374,0
manual_20260411_000331_seq_00009,13,0.304374,0
manual_20260411_000331_seq_00009,14,0.392241,0
manual_20260411_000331_seq_00009,15,0.392241,0
manual_20260411_000331_seq_00010,0,0.325181,0
manual_20260411_000331_seq_00010,1,0.410053,0
manual_20260411_000331_seq_00010,2,0.410053,0
manual_20260411_000331_seq_00010,3,0.434875,0
